Question
Planting and growing crops 
Solving math problems 
Being in a play 
Studying other cultures 
Talking to people at a party 
Working with computers 
Working on cars or lawnmowers 
Astronomy 
Drawing or painting 
Going to church 
Working on a sales campaign 
Using a cash register 
Carpentry 
Physics 
Foreign language 
Working with youth 





